施設名,郵便番号,住所,電話番号,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯
医療法人心明会 レディースクリニック さわだ,545-0052,大阪市阿倍野区阿倍野筋1丁目5番1号100 あべのルシアス1階,06-6641-0981,有,平日10:00-13:00 16:00-19:00土10:00-13:00(日・木・祝日 休診)
医療法人 立花クリニック,545-0011,大阪市阿倍野区昭和町1丁目21番22号徳山ビル4F,06-6629-1000,有,月火水金9:30-12:00(AM)13:00-17:30(PM)土9:30-12:00(AM)13:00-17:00(PM)
医療法人 中井医院,545-0032,大阪市阿倍野区晴明通11番7号,06-6661-3187,有,月火木金9:00-12:30 17:00-19:30
河田医院,545-0001,大阪市阿倍野区天王寺町北2丁目4番20号,06-6719-0381,有,月火水金9:00-13:00 17:00-19:00
医療法人 西川医院,545-0001,大阪市阿倍野区天王寺町北2丁目16番10号,06-6714-5218,有,平日9:00-12:00月火木金17:00-19:00
なかおかレディースクリニック,545-0021,大阪市阿倍野区阪南町1丁目50番10号日栄ビル1階,06-4703-3180,有,平日9:00-12:00 16:00-19:00土9:00-12:00
医療法人 平治会 SALAレディースクリニック,545-0021,大阪市阿倍野区阪南町5丁目17番20号エムズスクエア西田辺2階,06-6622-0221,有,月火水金 9:00-13:00  16:00-19:30木 9:00-13:00土・日 9:00-13:00
医療法人 柏蔭会 柏原医院,545-0036,大阪市阿倍野区万代1丁目6番16号,06-6622-1161,有,平日9:00-19:00水土8:00-13:00
社会医療法人 三宝会 南港クリニック,559-0011,大阪市住之江区北加賀屋2丁目11番8号北加賀屋千島ビル101号,06-6684-2018,有,平日 9:00-17:00
医療法人 西山産婦人科医院,559-0033,大阪市住之江区南港中3丁目4番4号,06-6613-1103,有,平日9:00-12:00 17:00-19:30土9:00-12:00 木休診
医療法人 糸氏医院,559-0016,大阪市住之江区西加賀屋1丁目1番6号,06-6681-2772,婦人科 有,平日9:00-12:30 17:00-19:30木土9:00-12:30
なかむらレディースクリニック,559-0005,大阪市住之江区西住之江1丁目1番31号N.KLASS住ノ江1階,06-6675-1211,産婦人科 有,月火水金土9:00-12:00月火水金16:30-19:00
大阪市立住之江診療所,559-0012,大阪市住之江区東加賀屋1丁目2番22号,06-6681-1000,有,月水金9:00-11:00
あさだクリニック,559-0012,大阪市住之江区東加賀屋3丁目4番7号,06-6684-2212,有,診療時間内
沢井産婦人科医院,558-0032,大阪市住吉区遠里小野3丁目4番8号,06-6694-1115,有,月・水 9:00-12:00 16:30-19:30火・金 9:00-12:00 15:00-18:00土 9:00-12:00
たつたレディースクリニック,558-0011,大阪市住吉区苅田5丁目19番19号あびこ駅前クリニックモール3階,06-6696-6080,有,平日9:00-19:00土9:00-12:00
ふくだレディースクリニック,558-0001,大阪市住吉区大領5丁目4番23号グレース住吉101号,06-6699-1239,有,月~土8:00-12:00月金16:00-19:00火木土13:30-16:00
医療法人 瓢成会 なかがわレディースクリニック,558-0044,大阪市住吉区長峡町5番5号,06-6671-0158,有,平日9:00-12:30 17:00-19:00土9:00-12:30木・日・祝休診
井口医院,546-0044,大阪市東住吉区北田辺6丁目13番8号,06-6628-6131,有,月~土9:30-12:00月水金17:00-19:00
髙畑産婦人科,546-0043,大阪市東住吉区駒川1丁目7番3号,06-6719-0185,有,平日9:00-19:30土9:00-13:00
医療法人ゆたかマタニティ超音波クリニック,547-0024,大阪市平野区瓜破1丁目6番6号グランドール南平野1階,06-6704-1103,有,平日土日9:00-18:30月(祝)9:00-12:30
高木レディースクリニック,547-0002,大阪市平野区加美東1丁目13番44号O.T.Mビル3階,06-4303-6222,有,月・火・金 9:00-12:0016:00-19:00木土9:00-12:00水 休診
元林産婦人科内科,547-0011,大阪市平野区長吉出戸8丁目7番27号,06-6707-0010,有,平日9:00-12:00 17:30-20:00土9:00-13:00
日野レディースクリニック,547-0016,大阪市平野区長吉長原3丁目16番6号,06-6706-1600,有,平日9:30-13:00 17:00-20:00土9:30-13:00
医療法人 佐々木産婦人科医院,547-0012,大阪市平野区長吉六反3丁目21番13号,06-6790-1320,有,平日8:30-12:00 16:30-19:00土8:30-12:00
医療法人 植田産婦人科,547-0046,大阪市平野区平野宮町2丁目8番8号,06-6791-1726,有,24時間対応(ただし事前連絡必要)
猪木産婦人科,557-0032,大阪市西成区旭1丁目1番3号,06-6641-0162,有,平日9:00-14:00 17:30-19:00土9:00-12:00 木第2土休診
医療法人五常会 浅野クリニック,557-0042,大阪市西成区岸里東1丁目8番11号,06-6661-7129,有,月~金9:00-12:30 16:30-19:30
イワタ医院,557-0014,大阪市西成区天下茶屋2丁目23番5号,06-6661-8525,有,月~金9:30-11:30月火水金13:30-15:00火金18:00-20:00
くにしげレディースクリニック,557-0014,大阪市西成区天下茶屋3丁目18番16号グランドメゾン1階,06-6655-5855,有,月火水金9:00-11:4516:00-18:00木土  9:00-11:45
くにしげレディースクリニック,557-0014,大阪市西成区天下茶屋3丁目18番16号グランドメゾン1階,06-6655-5855,有,月火水金9:00-11:45 16:00-18:00水土9:00-11:45
医療法人竹村医学研究会(財団)小阪産病院,577-0807,大阪府東大阪市菱屋西3-6-8,06-6722-4771,有,日、祝日除く 8:30~16:30
市立東大阪医療センター,578-8588,大阪府東大阪市西岩田3-4-5,06-6781-5101,有,平日9:00~17:00
医療法人恵生会恵生会病院,579-8036,大阪府東大阪市鷹殿町20-29,072-982-5101,有,24時間
笠原産婦人科医院,577-0007,大阪府東大阪市稲田本町3-18-23,06-6745-6204,有,月・火・水・金9:30~12:30、17:00~19:00土9:00~12:00
岡村レディースクリニック,577-0034,大阪府東大阪市御厨南2-1-1 八戸ノ里HIROビル3F,06-6618-5227,有,月・火・水・金09:00~12:00、16:30~19:30木・土09:00~12:00
森産婦人科,577-0056,大阪府東大阪市長堂1-3-8,06-6781-4925,有,平日09:30~12:30、16:30~19:00水・土09:30~12:30
東條医院,577-0058,大阪府東大阪市足代北1-16-20,06-6781-0076,有,医師在院時常時
小阪レディースクリニック,577-0807,大阪府東大阪市菱屋西3-4-13,06-6729-1192,有,診療時間内(WEB参照)
医療法人巽会たつみ皮膚科婦人科クリニック,577-0816,大阪府東大阪市友井3-1-12,06-6722-6955,有,月・火・水・金09:00~12:00、16:00~19:00土09:00~12:00
田路医院,577-0843,大阪府東大阪市荒川1-12-4,06-6728-3838,有,平日8:40~12:00月・水・金16:40~20:00
医療法人泰陽会西岡医院,578-0924,大阪府東大阪市吉田4-3-12,072-963-2233,有,月・火・水・金09:00~12:00、16:00~19:00土09:00~12:00
医療法人坪倉産婦人科,578-0942,大阪府東大阪市若江本町1-3-22,06-6722-8558,有,平日09:00~12:00、17:00~22:00水・土午後休診、日・祝休診
松本クリニック,578-0945,大阪府東大阪市若江北町1-17-18,06-6723-4103,有,09:00~11:30、17:00~19:00(365日対応可)
医療法人南野産婦人科クリニック,578-0971,大阪府東大阪市鴻池本町6-26,06-6744-1131,有,月・火・木・金09:00~12:00、17:30~19:30水・土09:00~12:00
和田診療所,579-8027,大阪府東大阪市東山町4-8 W・S百光ビル1階B号,072-986-0900,有,月・火・木・金・土09:30~12:30月・火・水・金17:00~19:30
大阪医科薬科大学病院,569-8686,高槻市大学町2番7号,072-683-1221,有,24時間対応可
北摂総合病院,569-8585,高槻市北柳川町6-24,072-696-2121,有,平日9:00~16:00(木、土、日、祝日除く)
(医)川村産婦人科医院,569-1031,高槻市松が丘1-1-1,072-687-7557,有,月火木金9:00~12:00、18:00~20:00水土9:00~12:00
医療法人子安会なかにし産婦人科クリニック,569-0823,高槻市芝生町3丁目21番10号,072-679-1010,有,月火水金9:00~12:00、18:00~20:00土9:00~12:00
医療法人jMOG 田辺レディースクリニック,569-1116,高槻市白梅町4番13号 ジオ高槻ミューズEX4F,072-668-4651,有,月火水金9:00~12:30、16:00~18:00土9:00~12:30
医療法人明峰会 東山産婦人科・小児科,569-0036,高槻市辻子3丁目10番3号,072-672-5335,有,24時間対応可
医療法人NEW WAVES堤レディースクリニック,569-0071,高槻市城北町2丁目4番5号 Hisako.BLD2F,072-662-0223,有,月9:00~12:00、16:00~20:00火9:00~12:00、水金9:00~12:00、17:00~20:00木9:00~12:00、15:00~19:00土9:00~12:00、(第2、第4土のみ13:00~16:00、第5土は休診)
渡辺婦人科,569-0085,高槻市南松原町2番1号,072-675-5359,有,月火水金9:00~12:00、17:00~19:00土9:00~12:00
米田産婦人科,560-0032,豊中市蛍池東町2-3-2,06-6857-1251,有,月・水・金・土9:30~11:45火9:30~11:15月・金17:30~19:15
医療法人 廣仁会 直原ウィメンズクリニック,560-0084,豊中市新千里南町2-11-1,06-6871-0314,有,月火水木金土9:00~12:00、月火水金17:00~19:00
しらいレディースクリニック,561-0862,豊中市西泉丘3-1-25 八重洲西泉丘ビル2F,06-6868-0461,有,月-木9:00~12:00、16:00~19:00金・土9:00~12:00
医療法人 愛慈会 田中医院,561-0881,豊中市中桜塚2‐2‐2 愛慈会ビル2F,06-6850-0088,有,月・火・水・金・土9:00~12:30
医療法人 槙野クリニック,560-0024,豊中市末広町1-7-2,06-6843-8031,有,月-土9:00~12:15火13:00~16:00月・水・金17:30~20:00(受付は19:30まで)
momウィメンズクリニックおおさこ,560-0002,豊中市緑丘4-1-2 イオンタウン豊中緑丘2F,06-4865-7007,有,月・土9:30~12:00火・木・金9:30~17:00
水野産婦人科医院,560-0024,豊中市末広町1-3-5,06-6852-3853,有,月-金9:15~13:15土9:15~12:00月・火・水・金18:00~20:00
むそうレディースクリニック,560-0026,豊中市玉井町2-2-18,06-6845-8630,有,月・火・木・金・土9:00~12:00
吉村レディースクリニック,560-0022,豊中市北桜塚3-1-33,06-6850-8162,有,"月・火・木・金・土10:00-12:30,月・火・木・金17:00-19:30"
医療法人 幸愛会 りかレディースクリニック,561-0802,豊中市曽根東町1-2-1 阪急曽根ビル2階,06-6850-3339,有,月・火・水・金・土9:00~12:00月・火15:30~18:30水・金16:00~19:30(変更があるかもしれないので事前にwebで確認して欲しい)
医療法人 うめかげレディースクリニック,561-0851,豊中市服部元町1-1-7,06-4866-2323,有,月-土9:00~12:30月・火・水・金17:00~19:30土16:00~18:00
あかりクリニック,561-0884,豊中市岡町北3丁目1-22,06-6852-1050,有,月-土9:00~13:00月・火・木・金14:00~18:00土14:00~16:00
田坂クリニック 産婦人科・内科,560-0082,豊中市新千里東町1丁目4番2号 千里ライフサイエンスビル10階,06-6832-1200,有,月-土9:30~12:30月・火・木・金17:00~19:30
医療法人 ひまわり 矢吹産婦人科 庄内クリニック,561-0832,豊中市庄内西町4-3-2,06-6332-3970,有,月・火・木・金・土9:30~12:00月・火・木・金17:00~18:30
医療法人 ひまわり 矢吹産婦人科 少路クリニック,560-0004,豊中市少路2-9-20,06-6850-0909,有,月・火・水・木・金・土9:30~12:00月・木・金15:00~17:00
医療法人成育会なりもとレディースホスピタル,573-0032,大阪府枚方市岡東町14番28号,072-861-1103,有,24時間 ※但し当院の受診歴がある方
医療法人愛成会 愛成クリニック,573-0048,大阪府枚方市山之上西町32番15号,072-845-0888,有,月木金13:30-15:30 要予約
イワサクリニック,573-0086,大阪府枚方市香里園町9-22,072-831-1666,有,平日 9:00∼20:00土 9:00∼12:00
医療法人恒遠産婦人科,573-0164,大阪府枚方市長尾谷町3-18-22,072-851-0303,有,月・火・水・金・土 9:00~12:00月・水・金 17:30~19:30
折野産婦人科,573-1111,大阪府枚方市楠葉朝日3-6-28,072-857-0243,有,月~土: 9:00~12:00月・金:17:00~19:00
冨沢産婦人科こどもクリニック,573-1192,大阪府枚方市西禁野2-8-9,072-847-7129,有,月・火 10:00∼12:00水~金  9:00~12:00月・水・金 17:00~20:00
のだ女性クリニック,573-0032,大阪府枚方市岡東町14-48 山口ビル4階,072-843-3267,有,月・火・水・金 9:00~12:0015:00~17:30土 9:00~12:30
吉田医院,573-0053,大阪府枚方市伊加賀南町5-4,072-841-3103,有,平日         9:00~14:00土       9:00~12:00月・水・金      18:00~20:00
医療法人桜花会あきせウィメンズクリニック,573-0024,大阪府枚方市田宮本町9-45,072-861-1703,有,平日9:00~12:30、17:00~20:00土9:00~12:30、14:00~16:00
和久田クリニック,573-0084,大阪府枚方市香里ケ丘10-3732-14,072-837-5688,有,月・火・木・金・土9:00~12:00月・火・木・金16:30~18:30休診 水・日・土午後
芦原産婦人科クリニック,573-1141,大阪府枚方市養父西町15‐15,072-857-0010,有,月~土9:30∼13:00
医療法人徳洲会八尾徳洲会総合病院,581-0011,八尾市若草町1-17,072-993-8501,有,平日 9:00-12:00
八尾市立病院,581-0069,八尾市龍華町1-3-1,072-922-0881,有,他の分娩に支障がなければ24時間
医療法人 正木産婦人科,581-0831,八尾市山本町北1-2-22,072-922-4103,有,平日 9:00-13:00夜診火・水 18:00-20:00木・日 休診
きくちレディースクリニック,581-0068,八尾市跡部北の町3-1-26久宝寺クリニックビル3階,072-928-1880,有,平日 9:00-12:0017:00-19:00土  9:00-12:00
中島産科婦人科,581-0802,八尾市北本町3-5-8,072-998-8281,有,月・火・水・金 9:00-12:0017:00-20:00土 9:00-12:00
萩原クリニック,581-0061,八尾市春日町2-6-9,072-991-1452,有,平日 9:00-12:3016:00-18:30土 9:00-11:30
医療法人 いとうレディースこどもクリニック,572-0857,大阪府寝屋川市打上中町13番1号,072-880-1503,有,月~火・木~土9:30~12:00月~火・木金17:30~19:30土12:30~13:30夜間・休診日も対応可能
中嶋婦人科クリニック,572-0061,大阪府寝屋川市長栄寺町12番12号,072-813-8666,有,月火木~土9:00~12:00月~金16:30~19:30
医療法人 西野レディースクリニック,572-0062,大阪府寝屋川市高柳栄町1番4号,072-800-8824,有,月~水・金~土9:30~12:00月~水・金16:00~18:30
真野医院,572-0067,大阪府寝屋川市宝町18-26,072-838-2320,有,月~水・金~土9:00~12:00月~水・金18:00~20:00
医療法人 柳原医院,572-0043,大阪府寝屋川市錦町1-1,072-826-0476,有,月~土9:00~12:30月水金17:30~19:00
渡辺産婦人科,572-0085,大阪府寝屋川市香里新町16-15,072-834-1179,有,月~土9:00~12:00月・水・金16:00~19:00
医療法人桜花会 あきせウィメンズクリニック寝屋川院,572-0084,大阪府寝屋川市香里南之町20番20号グランフィール香里園3階302号,072-831-1115,有,月~水・金~土9:00~12:00月・火・水・金16:00~19:00土14:00~16:00
堺市立総合医療センター,593-8304,堺市西区家原寺町1丁1番1号,072-272-1199,有,日曜・祝日 9:00~17:00
独立行政法人労働者健康安全機構 大阪労災病院,591-8025,堺市北区長曽根町1179番地3,072-252-3561,有,平日8:15~17:00
耳原総合病院,590-8505,堺市堺区協和町4丁465,072-241-0501,有,平日9:00-17:00土曜日9:00-13:00
吉川病院,591-8046,堺市北区東三国ヶ丘町4-1-25,072-259-0100,有,月曜~土曜 9:00-13:00月水木金 17:00-19:00土曜 14:00-17:00
池田産婦人科,590-0942,大阪府堺市堺区材木町東3丁1-20,072-228-1319,有,月金 9:00~15:00、17:00~19:00水 9:00~15:00火土 9:00~12:00
今井医院,591-8037,大阪府堺市北区百舌鳥赤畑町4丁343-5,072-257-1682,有,月水金 9:00~12:00、17:00~19:30
医療法人赤井マタニティクリニック,590-0103,大阪府堺市南区深阪南167,072-239-5988,有,平日 9:00~11:45、17:00~19:00
医療法人泉谷診療所,590-0011,大阪府堺市堺区香ヶ丘町1丁8-9,072-227-6011,有,月水土 9:00~12:00但し、土曜日は隔週
医療法人大平産婦人科,590-0141,堺市南区桃山台4-2-1,072-299-1103,有,月金 9:00~20:00火木土 9:00~14:00水 17:00~19:00
医療法人甲潤会八木クリニック,590-0938,堺市堺区神明町西1丁1-17,072-233-5630,有,月金 9:30~12:30、18:00~20:00火水金土 9:30~12:30
医療法人甲潤会レディースクリニックやぎ,591-8023,堺市北区中百舌鳥町2丁39 クリスタルなかもず4F,072-259-1107,有,月火水金 9:30~13:00、16:30~17:00
医療法人沈沢医院,590-0974,堺市堺区大浜北町2丁1の30,072-223-5733,有,月水金土 10:00~12:00月水金 17:00~19:00
医療法人竹山産婦人科,590-0113,堺市南区晴美台3-1-4,072-292-3500,有,6:00~24:00(電話連絡のうえ対応)
医療法人浜中産婦人科,590-0144,堺市南区赤坂台3-10-5,072-298-3535,有,平日 9:00~12:00月水金 17:30~19:00木曜日休診
医療法人平治会 KAWAレディースクリニック,590-0116,堺市南区若松台3-2-3,072-297-2700,有,月~土 9:00~19:30日 9:00~13:00
医療法人ゆうあい会 しんやしき産婦人科,599-8125,堺市東区西野461番地1,072-239-5571,有,月火水金 9:00~12:00、17:00~19:30
医療法人雄徳会 たつみクリニック,592-8334,堺市西区浜寺石津町中1-3-9,072-247-9411,有,平日 9:00~12:00
医療法人和昇会阪本クリニック,599-8126,堺市東区大美野22-4,072-239-0033,有,平日 9:00~12:00
大槻レディースクリニック,590-0115,堺市南区茶山台1-2-4 パンジョ西館3F,072-290-6000,有,平日 9:30~12:30、16:00~19:00(水を除く)土 9:30~12:30
小野クリニック,599-8114,堺市東区日置荘西町1-12-3,072-288-1616,有,月火水金 9:00~12:00火金 17:00~19:00
坂本産婦人科,599-8107,堺市東区白鷺町1-3-7,072-257-3588,有,月~土 10:00~11:50月火水金 17:00~18:50 日祝休
清水レディースクリニック,590-0024,堺市堺区向陵中町2丁3番13号,072-250-0511,有,月~土 9:00~12:00月木 16:30~18:30
たにわレディースクリニック,591-0028,堺市堺区三国ヶ丘御幸通2-1 谷和ビル5階,072-233-0080,有,月~土 9:00~11:30月水 17:00~18:30
徳川レディースクリニック,592-8344,堺市西区浜寺南町3丁2番1号 浜寺メディカルスクエア302,072-266-3636,有,月水金 8:00~19:30火木土 8:00~13:00
中産婦人科,591-8043,堺市北区北長尾町2-4-15,072-252-0634,有,月~土 9:00~12:00月水金 17:00~19:00
典子エンジェルクリニック,591-8002,堺市北区北花田町3-28-10,072-254-8875,有,月~土 9:00~12:30月水金 17:00~20:00
山手医院,590-0924,堺市堺区桜之町東1-1-3,072-238-1796,有,月 15:00~20:30水金 15:30~19:00木土18:00~20:30
山本産婦人科,590-0138,堺市南区鴨谷台3-6-2,072-299-7767,有,平日 9:00~12:00、17:00~19:30水土 9:00~12:00
ルナレディースクリニック,590-0951,堺市堺区市之町西3丁1-43,072-227-8451,有,平日 10:00~16:00(水以外)土 10:00~16:00日 10:00~15:00
